kar,rus
"Muan peruszakonan mugah virralline kieli on katalonien kieli, ga rahvas paistah sežo ispuanien da vähän frantsien kielel","По Конституции страны, официальным языком является каталанский, распространены также испанский и немного французский языки"
Andorran pinduala on 468 km²,Территория Андорры составляет 468 км²
Rahvahan lugumiäry on 71 732 hengie,Число населения - 71 732 человек
Andrei Tarkovskii,Андрей Тарковский
"Andrei Arsenjevič Tarkovskii (Андре́й Арсе́ньевич Тарко́вский, 4",Андрей Арсеньевич Тарковский
Händy pietäh yhtenny muailman merkittävimis kinoloin luadijois,Его считают одним из самых влиятельных режиссёров кино
Angola (Angolan Tazavaldu) on valdivo suvizes Afriekas,Ангола (Республика Ангола) — государство в Южной Африке
"Sen rajamuat ollah Namibii - suves, Kongon Demokruatilline Tazavaldu – koillizes da pohjazes, Zambii da Kongon Tazavaldu – päivännouzupuoles","на юге граничит с Намибией, с Демократической Республикой Конго —  на северо-востоке и севере, с Замбией и Республикой Конго — на востоке"
Angolan päivänlaskupuoles on Atlantan valdumeri,С запада Ангола омывается Атлантическим океаном
Angola on endine Portugalien siirdomua,Ангола — бывшая португальская колония
Angolan nimen muale andoi sen enzimäine prezidentu Agostinjo Neto,Ангола получила своё название от первого президента Агостиньо Нето
Nimi kiännetäh kui ”ruskei rouzu”,Название расшифровывается как «красная роза»
Muan pinduala on 1 246 700 kvadruattukilometrii,площадь земли —  1 246 700 квадратных километров
Angolas eläy (vuvven 2015 tiedoloin mugah) 22 565 986 hengie,Анголу населяет (по данным 2015 года) 22 565 986 человека
Angolan piälinnu on Luanda,Столица Анголы — Луанда
"Animacii (, elävöittämine) on tehniekku, kudamas kino todevutetah kuva kuval",Анимация  (одушевление) — технические приёмы создания иллюзии движущихся изображений
"Animacien voibi luadie kuvuamal fil'male piirrettylöi kuvii pienien muutoksienke libo azujen pienii muutoksii fiiziellizeh mallih (ezimerkikse azutekseh, animaciityttih libo vahah) da fotokuvuamal muutokset","Анимация может создать для художественного фильма рисованные картины с небольшими изменениями или сделать небольшие изменения в формате (в образе, переходах или форме) и в фотографической трансформации"
Animacii voijah todevuttua sežo tiedokonehenvuoh,Анимации можно создать с помощью компьютера
Animacien histourii,История анимации
"Iranas Šahr-e Sukhtehan linnas enämbi nellän tuhanden vuvven tagua on lövvetty savimal'l'u, kudaman pinnale oli mualattu koza liikkehen eri vaihielois",Размечать
"Blackton luadi samannu vuvvennu sežo enzimäizenny varzinazennu mul'tifil'mannu pietyn ""Humorous Phases of Funny Faces"" -fil'man","В том же году Блёттон выпустил первый мультфильм, юмеющий название «Комические фазы смешных лиц»"
Karikaturistannu aloittanuh Émile Cohl oli yksi francielazen animacien perustajis,Карикатурный художник Эмиль Коль был одним из основателей французской анимации
"Nevvostoliitos kehitettih omaluaduine, pehmei taba kuvata liikehty, kudamas tuli muan animacien tunnusmerki","В Советском Союзе разработали своеобразный, плавный способ изображения движения, который стал отличительной чертой отечественной анимации"
Animaciitehniekkoi on monenluadustu da niilöi voi sežo yhtistellä,"Существует многообразие анимационных техник, их даже можно комбинировать"
